kepoi_name,koi_disposition,koi_period,koi_depth,koi_duration,koi_prad,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,koi_score,koi_model_snr,koi_impact
K06325.01,FALSE POSITIVE,2.97587674,116.4,4.733,0.9,1135.0,392.05,5481.0,4.508,0.835,,10.1,0.291
K06326.01,CANDIDATE,14.658014077,129940.0,3.02361,165.91,855.0,126.35,5146.0,3.986,1.626,,6000.8,1.422
K06327.01,FALSE POSITIVE,18.839486925,186490.0,5.62889,45.93,738.0,70.05,6225.0,4.45,1.031,,3820.5,0.408
K06328.01,FALSE POSITIVE,0.555973803,75.3,1.271,1.9,3049.0,20544.64,5445.0,3.776,2.117,0.004,23.3,0.563
K06329.01,CANDIDATE,12.4701111,89.7,3.616,2.06,1074.0,313.87,5623.0,3.877,2.109,0.709,9.3,0.569
K06330.01,FALSE POSITIVE,3.495457889,114620.0,6.9796,84.49,2051.0,4186.71,8529.0,4.249,1.558,0.0,724.0,0.965
K06331.01,CANDIDATE,5.8229815,281.6,2.8,1.36,914.0,165.12,5704.0,4.575,0.804,0.452,8.1,0.395
K06332.01,FALSE POSITIVE,4.01668015,38007.0,2.2828,22.11,1016.0,252.13,5448.0,4.497,0.794,0.0,87.9,0.911
K06333.01,FALSE POSITIVE,1.8913126,76.0,5.943,1.06,1715.0,2043.9,6432.0,4.381,1.147,,11.0,0.6535
K06334.01,FALSE POSITIVE,2.881100027,662830.0,9.43866,446.29,2946.0,17809.19,8104.0,3.675,3.369,0.0,3316.5,0.829
K06335.01,FALSE POSITIVE,0.806244727,175.5,5.409,2.5,2043.0,4119.09,6122.0,4.471,0.996,,69.1,0.9974
K06336.01,FALSE POSITIVE,0.513482156,91.6,2.732,0.83,2072.0,4335.56,5495.0,4.495,0.882,0.0,12.6,0.004
K06337.01,FALSE POSITIVE,0.892061734,75590.0,2.24307,46.75,1724.0,2090.54,5561.0,4.512,0.855,0.0,398.1,1.079
K06338.01,CANDIDATE,3.471399167,92890.0,5.07136,91.78,1557.0,1390.76,6026.0,4.101,1.689,,3957.9,1.0274
K06339.01,FALSE POSITIVE,4.176926108,73673.0,5.2173,36.87,942.0,185.81,5463.0,4.622,0.713,,206.1,1.0598
K06340.01,FALSE POSITIVE,6.3762199,277.2,2.117,1.42,919.0,168.45,5804.0,4.553,0.85,,8.1,0.2169
K06341.01,CANDIDATE,9.78184193,,2.3,,,,,,,,,
K06342.01,CANDIDATE,8.1770751,44.3,4.608,0.83,1115.0,365.09,6501.0,4.281,1.209,0.984,10.6,0.456
K06343.01,CANDIDATE,569.45154,400.2,13.15,1.9,225.0,0.61,6117.0,4.496,0.947,,9.9,0.206
K06344.01,FALSE POSITIVE,0.823014905,850.5,3.5426,22.17,1482.0,1136.75,4975.0,4.614,0.724,0.0,130.5,1.247
K06345.01,FALSE POSITIVE,1.353414369,610.2,13.416,216.31,3617.0,40561.5,4850.0,2.865,8.586,0.0,100.8,1.202
K06346.01,FALSE POSITIVE,2.9590637,23.6,28.81,0.65,1564.0,1415.74,6192.0,4.195,1.322,,6.4,0.2957
K06347.01,FALSE POSITIVE,1.806631432,217.5,1.102,1.05,1059.0,297.98,4606.0,4.591,0.699,0.0,10.4,0.536
K06348.01,FALSE POSITIVE,15.066491437,112970.0,6.27459,67.53,852.0,124.28,6337.0,4.382,1.198,,1305.3,0.992
K06349.01,FALSE POSITIVE,1.831833524,42566.0,7.505,694.24,2078.0,4410.65,5269.0,3.667,2.183,,173.1,3.6861
K06350.01,FALSE POSITIVE,0.738527471,656.5,1.2216,40.81,3057.0,20639.1,5759.0,3.732,2.447,,139.5,1.1206
K06351.01,FALSE POSITIVE,0.896271031,69831.0,2.223,46.58,1732.0,2129.33,5551.0,4.493,0.861,,171.9,1.0931
K06352.01,CANDIDATE,5.11685165,177.7,3.104,1.22,1039.0,275.15,5955.0,4.52,0.91,,9.8,0.3053
K06353.01,CANDIDATE,10.0714369,49.5,6.891,1.98,1362.0,814.46,5768.0,3.633,2.81,0.968,10.8,0.006
K06354.01,FALSE POSITIVE,0.62240698,155.8,1.186,1.63,2663.0,11894.49,6661.0,4.341,1.29,,10.2,0.0908
K06355.01,CANDIDATE,4.37198905,103.7,2.177,0.93,1085.0,327.65,5823.0,4.489,0.919,1.0,9.9,0.177
K06355.02,CANDIDATE,6.72876606,117.4,2.277,1.03,940.0,184.66,5823.0,4.489,0.919,,7.8,0.5757
